date,value
2017-09-11,2490000
2017-09-08,2454000
2017-09-07,2406000
2017-09-06,2350000
2017-09-05,2338000
2017-09-04,2302000
2017-09-01,2324000
2017-08-31,2316000
2017-08-30,2310000
2017-08-29,2304000
2017-08-28,2305000
2017-08-25,2351000
2017-08-24,2376000
2017-08-23,2374000
2017-08-22,2350000
2017-08-21,2342000
2017-08-18,2345000
2017-08-17,2352000
2017-08-16,2310000
2017-08-14,2250000
2017-08-11,2231000
2017-08-10,2295000
2017-08-09,2314000
2017-08-08,2386000
2017-08-07,2379000
2017-08-04,2385000
2017-08-03,2389000
2017-08-02,2450000
2017-08-01,2430000
2017-07-31,2410000
2017-07-28,2388000
2017-07-27,2490000
2017-07-26,2492000
2017-07-25,2500000
2017-07-24,2543000
2017-07-21,2554000
2017-07-20,2560000
2017-07-19,2537000
2017-07-18,2542000
2017-07-17,2532000
2017-07-14,2524000
2017-07-13,2528000
2017-07-12,2494000
2017-07-11,2450000
2017-07-10,2433000
2017-07-07,2393000
2017-07-06,2403000
2017-07-05,2379000
2017-07-04,2350000
2017-07-03,2361000
2017-06-30,2377000
2017-06-29,2397000
2017-06-28,2385000
2017-06-27,2415000
2017-06-26,2414000
2017-06-23,2381000
2017-06-22,2398000
2017-06-21,2374000
2017-06-20,2407000
2017-06-19,2328000
2017-06-16,2279000
2017-06-15,2284000
2017-06-14,2268000
2017-06-13,2270000
2017-06-12,2269000
2017-06-09,2305000
2017-06-08,2258000
2017-06-07,2265000
2017-06-05,2297000
2017-06-02,2298000
2017-06-01,2234000
2017-05-31,2235000
2017-05-30,2232000
2017-05-29,2281000
2017-05-26,2304000
2017-05-25,2284000
2017-05-24,2244000
2017-05-23,2246000
2017-05-22,2255000
2017-05-19,2236000
2017-05-18,2297000
2017-05-17,2317000
2017-05-16,2319000
2017-05-15,2305000
2017-05-12,2291000
2017-05-11,2275000
2017-05-10,2280000
2017-05-08,2351000
2017-05-04,2276000
2017-05-02,2245000
2017-04-28,2231000
2017-04-27,2192000
2017-04-26,2140000
2017-04-25,2135000
2017-04-24,2062000
2017-04-21,2038000
2017-04-20,2014000
2017-04-19,2045000
2017-04-18,2075000
2017-04-17,2078000
2017-04-14,2101000
2017-04-13,2121000
2017-04-12,2095000
2017-04-11,2080000
2017-04-10,2097000
2017-04-07,2080000
2017-04-06,2092000
2017-04-05,2107000
2017-04-04,2104000
2017-04-03,2072000
2017-03-31,2060000
2017-03-30,2099000
2017-03-29,2089000
2017-03-28,2074000
2017-03-27,2060000
2017-03-24,2075000
2017-03-23,2090000
2017-03-22,2123000
2017-03-21,2128000
2017-03-20,2095000
2017-03-17,2120000
2017-03-16,2092000
2017-03-15,2070000
2017-03-14,2068000
2017-03-13,2030000
2017-03-10,2009000
2017-03-09,2010000
2017-03-08,2010000
2017-03-07,2010000
2017-03-06,2004000
2017-03-03,1981000
2017-03-02,1986000
2017-02-28,1922000
2017-02-27,1903000
2017-02-24,1911000
2017-02-23,1959000
2017-02-22,1965000
2017-02-21,1947000
2017-02-20,1933000
2017-02-17,1893000
2017-02-16,1901000
2017-02-15,1886000
2017-02-14,1879000
2017-02-13,1898000
2017-02-10,1918000
2017-02-09,1920000
2017-02-08,1920000
2017-02-07,1941000
2017-02-06,1978000
2017-02-03,1973000
2017-02-02,1968000
2017-02-01,1956000
2017-01-31,1973000
2017-01-26,1995000
2017-01-25,1970000
2017-01-24,1908000
2017-01-23,1903000
2017-01-20,1860000
2017-01-19,1874000
2017-01-18,1847000
2017-01-17,1848000
2017-01-16,1833000
2017-01-13,1873000
2017-01-12,1940000
2017-01-11,1914000
2017-01-10,1862000
2017-01-09,1861000
2017-01-06,1810000
2017-01-05,1778000
2017-01-04,1808000
2017-01-03,1824000
2017-01-02,1805000
2016-12-29,1802000
2016-12-28,1788000
2016-12-27,1799000
2016-12-26,1798000
2016-12-23,1782000
2016-12-22,1809000
2016-12-21,1805000
2016-12-20,1812000
2016-12-19,1795000
2016-12-16,1793000
2016-12-15,1759000
2016-12-14,1777000
2016-12-13,1766000
2016-12-12,1752000
2016-12-09,1780000
2016-12-08,1790000
2016-12-07,1772000
2016-12-06,1748000
2016-12-05,1718000
2016-12-02,1727000
2016-12-01,1749000
2016-11-30,1746000
2016-11-29,1677000
2016-11-28,1677000
2016-11-25,1650000
2016-11-24,1650000
2016-11-23,1649000
2016-11-22,1640000
2016-11-21,1593000
2016-11-18,1586000
2016-11-17,1568000
2016-11-16,1558000
2016-11-15,1539000
2016-11-14,1553000
2016-11-11,1598000
2016-11-10,1649000
2016-11-09,1596000
2016-11-08,1644000
2016-11-07,1640000
2016-11-04,1627000
2016-11-03,1616000
2016-11-02,1643000
2016-11-01,1652000
2016-10-31,1639000
2016-10-28,1614000
2016-10-27,1573000
2016-10-26,1567000
2016-10-25,1597000
2016-10-24,1608000
2016-10-21,1589000
2016-10-20,1620000
2016-10-19,1625000
2016-10-18,1589000
2016-10-17,1590000
2016-10-14,1577000
2016-10-13,1557000
2016-10-12,1535000
2016-10-11,1545000
2016-10-10,1680000
